pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,ai_relevant,ai_reason,fetched_date,winner
523011-2026,Belgium – Market research services – European Union Market Observatory for Fisheries and Aquaculture Products,"European Commission, DG MARE - Maritime Affairs and Fisheries",cn-standard,"79310000, 48480000, 48612000, 72413000",2026-11-04,https://ted.europa.eu/en/notice/-/detail/523011-2026,14592000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",48 month,BEL,"Maintain and develop the activities and services currently delivered by the European Union Market Observatory for Fisheries and Aquaculture Products (EUMOFA) and implement, run and maintain a fully-fledged market intelligence service on EU fisheries and aquaculture markets.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
523421-2026,Netherlands – Research consultancy services – Weerbaarheid van het toenemende decentrale energiesysteem,"Ministerie van Economische Zaken, Rijksdienst voor Ondernemend Nederland (RVO)",cn-standard,"73210000, 71314000",2026-10-19,https://ted.europa.eu/en/notice/-/detail/523421-2026,,,NLD,—,NLD,"Opdrachtgever wenst een Opdrachtnemer te contracteren die onderzoek uitvoert naar de weerbaarheid van het toenemende decentrale energiesysteem en de betekenis daarvan voor het integrale energiesysteem. De opdracht richt zich op het ontwikkelen van een samenhangend beeld van weerbaarheid van decentrale energiesystemen. Daarbij wordt onderzocht hoe weerbaarheid kan worden gedefinieerd, beoordeeld en versterkt, en onder welke voorwaarden decentrale energiesystemen kunnen bijdragen aan de weerbaarheid van het energiesysteem als geheel. De opdracht omvat in ieder geval het uitwerken van een begrippenkader, een beoordelingskader, een analyse van risico’s en impactscenario’s, maatregelen om de weerbaarheid te vergroten, en handelingsperspectieven voor beleid, innovatie en praktijk. Zie aanbestedingsdocument",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
524046-2026,Belgium – Servers – Accord-cadre pour l'achat de serveurs 1U/2U,Smals,cn-standard,48820000,2026-10-15,https://ted.europa.eu/en/notice/-/detail/524046-2026,,,"FRA, NLD",2 year,BEL,Le présent marché a pour but de conclure un accord-cadre pour la livraison de serveurs rackables 1U/2U.,,Live opportunity,,,True,API error 401 — kept,2026-07-29,
524352-2026,Ireland – Public relations services – Invitation to Tender for Public Relations and Communications Services,Port of Cork Company,cn-standard,"79416000, 79416100, 79416200",2026-09-04,https://ted.europa.eu/en/notice/-/detail/524352-2026,240000.0,EUR,ENG,3 year,IRL,"The Port of Cork Company wishes to enter into a contract for the Provision of Public Relations and Communications Services and seeks to appoint a strategic external communications partner to provide specialist support in areas including strategic advisory, media relations, executive communications and crisis management.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
524400-2026,Ireland – Energy and related services – Provision of End to End Scheme Design for a National District Heat Grant Scheme,Sustainable Energy Authority of Ireland,cn-standard,"71314000, 71314300, 71314200, 09323000",2026-09-04,https://ted.europa.eu/en/notice/-/detail/524400-2026,330000.0,EUR,ENG,24 month,IRL,"In summary, the Services comprise: finalising the design of the Support Scheme for District Heating (SSDH) to full operational readiness for final Government approval and launch. The project will develop financial, economic, commercial, technical, legal and governance processes into a robust, transparent and proportionate end-to-end scheme framework. Ensuring compliance with EU State Aid requirements and delivery of an administratively efficient, scalable capital (Construction and Pre-Construction) support programme for district heating. for more information, see Call for Tender at https://www.etenders.gov.ie",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
525238-2026,Germany – Research consultancy services – 10005247 - Green Hydrogen Investments in India,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,cn-standard,73210000,2026-08-31,https://ted.europa.eu/en/notice/-/detail/525238-2026,,,ENG,24 month,DEU,"GIZ provides consultancy to its partners through a wide array of methods. Most importantly, GIZ develops and implements solutions together with partners through close cooperation and process advisory. The project ""Green Hydrogen Investments"" (GH2I), implemented under the Indo-German Bilateral Development Cooperation by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ) and Ministry of New and Renewable Energy India (MNRE), contributes to a sustainable and inclusive energy transition towards climate neutrality by improving the policy, institutional and technical requirements for the use of green hydrogen in India""s hard-to-abate sectors. The goal of this specific tender is to support GIZ and its partners in achieving these goals. Green hydrogen is particularly important for energy-intensive industrial sectors, such as the iron, e-SAF and fertilizer industry among others, which cannot be efficiently and cost-effectively decarbonized with purely electricity-based technologies. The objective of the tender is to provide high-quality advisory services, ad hoc studies and policy and regulatory instrument proposals and designs in the context of gH2 in hard-to-abate sectors in India based on international experience. The contract offers support through studies in the space of green ports, green iron and steel, e-SAF and green public procurement. The assignment provides the project also with ten regulatory and policy instruments: Policy Instruments: - Framework for Green Hydrogen Demand Creation, e.g. covering sector-specific pathways for the gradual substitution of grey hydrogen in refineries and fertilisers, utilizing non-mandatory and phased market-aligned approaches, and aligning green public procurement with India""s broader decarbonisation goals (NDCs) - Infrastructure Planning Framework, e.g. covering strategic cluster formation, pilot design, RACI-based roles, and tender design that incorporates quality and safety criteria (such as PESO compliance) alongside site selection and state-level capacity building. - Integration of Green Hydrogen in State Energy Planning (IEP), e.g. adopting a state-led approach to integrate into broader provincial energy strategies, building on existing projects such as the ongoing IEP project in Odisha to ensure regional alignment. - Gender Policy in Green Hydrogen, e.g. promoting gender inclusion across the value chain to ensure diverse participation and workforce development within the emerging green hydrogen economy Regulatory Instruments: - Green Hydrogen Infrastructure - Legal & Regulatory Framework, e.g. covering the assessment of existing legal frameworks and infrastructure-related laws (such as the PMP Act), identifying regulatory gaps that require amendments, and providing recommendations to ensure adequate legal backing for shared infrastructure. - Policy as a Code (Energy Regulations), e.g. covering the conve",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
525247-2026,"Belgium, Czechia – Business services: law, marketing, consulting, recruitment, printing and security – FWC Legal and management support on the implementation of components of the European Space Programme","European Commission, DG DEFIS - Defence Industry and Space | European Union Agency for the Space Programme",cn-standard,"79000000, 79100000, 72224000, 71600000",2026-09-29,https://ted.europa.eu/en/notice/-/detail/525247-2026,20000000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE, BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE, BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",48 month,BEL,"In the scope of the Regulation (EU) 2023/588 of the European Parliament and of the Council of 15 March 2023 establishing the Union Secure Connectivity Programme for the period 2023- 2027, the European Commission has signed a 12-year Concession Contract on 126 December 2024 for the development, the deployment and the operation of the Infrastructure for Resilience, Interconnectivity and Security by Satellite (IRIS²) programme. IRIS² consists in 264 LEO satellites, 18 MEO satellites and a ground infrastructure to be deployed by 2030 which aim at providing a secure, low-latency connectivity to EU Members States, Governmental users and Commercials users with a worldwide coverage. The programme will be split in 4 phases: 1. Phase 1: Supply chain consolidation This maximum 1-year phase will enable the IRIS² Concessionaire to finalise suppliers’ selection. This should also allow the creation of a Special Purpose Vehicle to handle the Concession Contract until its end in 12 years. 2. Phase 2: Development phase This 2-year phase will be mainly dedicated to the design and the development of the infrastructure. 3. Phase 3: Deployment phase This phase is expected to last 3 years and will be dedicated to the industrialisation, production and launch of the infrastructure. 4. Phase 4: Operation phase The rest of period of 12 years will consist in operating the IRIS² infrastructure and providing services. During these 4 phases, the European Commission will supervise the Concessionaire’s activities and collaborate with it to ensure the proper execution of the Concession Contract respecting the contractual performances, cost and schedule of IRIS². The envisaged Framework Contract is expected to cover these Phases 1, 2 and 3. EU Space Surveillance and Tracking (EU SST) is a key capability that helps to protect space infrastructure and services from in-orbit collisions between space objects and other disruptions. It thereby safeguards European economies, societies and citizens who increasingly rely on space-based services such as navigation or Earth observation, and so contributes to the resilience of European space assets and to a higher level of EU strategic autonomy. Integrated in 2021 as a full-fledged subcomponent of the EU Space Programme, EU SST is fully operational, with its own network of sensors from EU Member States, a database connecting national Operations Centres, and services provided to users through the EU SST Front Desk at EUSPA. It is also security relevant: its internal data policy protects sensitive information and the security interests of EU SST partners, and gives guidelines on handling SST data. In the framework of the current ECF proposal, new services are proposed and a new governance might emerge. The Commission adopted on 25 June 2025 the EU Space Act – a legislative proposal for a Regulation on the safety, resilience and environmental sustainability of space activities. The EU Space Act is a groundbreaking proposal, responding directly t",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
525641-2026,France – Supporting and auxiliary transport services; travel agencies services – Logiciel de réservation de voyages professionnels,DIGITAL AFRICA,cn-standard,63000000,2026-08-30,https://ted.europa.eu/en/notice/-/detail/525641-2026,,,"FRA, ENG",4 year,FRA,"L’objectif de ce marché est de sélectionner un prestataire capable de fournir une plateforme en ligne de réservation de voyages professionnels (vols, hébergements et solutions sur mesure) répondant aux besoins spécifiques de Digital Africa, notamment en termes de couverture des destinations africaines, de réactivité, de compétitivité tarifaire et de facilité d’utilisation.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
525827-2026,Poland – Miscellaneous general and special-purpose machinery – Circulating Water Pumps (Concrete Volute),BECHTEL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,cn-standard,"42900000, 42000000",—,https://ted.europa.eu/en/notice/-/detail/525827-2026,,,ENG,—,POL,"The scope of work for this package consists of design, furnish material, fabricate, test, and deliver (9) vertical concrete volute pumps (based on European Materials, Codes and Standards) for each of the three nuclear power plants (NPPs) planned for the Poland AP100 Project. The Circulating Water Concrete Volute Pump, pumps brackish Baltic Sea water to remove heat from the main condensers in a once through cooling system configuration. There are 9 total concrete volute pumps for the project site (3 x 33% per unit) with a rated flow of 21.3 m3/s (76,668 m3/hr), pump head of 22.5m, and design life of 60 years. There shall be physical model testing and shop performance testing on the pump.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
525873-2026,Belgium – Post and courier services – Postdiensten,Solidaris - union nationale des mutualités socialistes,cn-standard,"64100000, 64112000, 64111000",2026-09-02,https://ted.europa.eu/en/notice/-/detail/525873-2026,,,"FRA, NLD, FRA, NLD, FRA, NLD",12 month,BEL,"Lettres et envois recommandés, prior et non prior, nationaux et internationaux avec affranchissement par machines à affranchir, par timbre-poste et par le prestataire Lettres, prior et non prior, nationaux et internationaux et envois de périodiques avec ou sans transmission préalable des adresses, avec affranchissement par code d’identification Envoi en grandes quantités de correspondance nationale de type administratif ou commercial, avec ou sans transmission préalable des adresses.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
526069-2026,"Italy – Health and safety consultancy services – Servizi di consulenza nel campo della salute e sicurezza sul lavoro e dell'ambiente presso il Centro Comune di Ricerca, sito di Ispra (Italia)","Commissione europea, Centro comune di ricerca (JRC)",cn-standard,"71317210, 71731000, 79212000, 79417000",2026-09-02,https://ted.europa.eu/en/notice/-/detail/526069-2026,4700000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",48 month,ITA,"L'oggetto del contratto quadro sarà la fornitura di servizi di consulenza nel campo della salute e sicurezza sul lavoro e dell'ambiente presso il Centro Comune di Ricerca, sito di Ispra (Italia)",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
526239-2026,"France – Architectural, construction, engineering and inspection services – Procédure adaptée pour une mission de maîtrise d’œuvre urbaine, infrastructure et paysage pour la restructuration des ilots prioritaires du centre-bourg de Vivy (49)",Alter Cités agissant au nom et pour le compte de la commune de Vivy,veat,71000000,—,https://ted.europa.eu/en/notice/-/detail/526239-2026,,,,—,FRA,"PARTIE I – Etude de faisabilité - MISSION 1 : Etude de faisabilité et de programmation - MISSION 2 : Assistance à la maitrise d’ouvrage pour la concertation du projet PARTIE II – Etudes opérationnelles - MISSION 3 : Avant-Projet (AVP) - MISSION 4 : Etudes de Projet – VRD/Réseaux souples/Paysage (PRO) - MISSION 5 : Assistance au maître d’ouvrage pour la passation des contrats de travaux (ACT) - MISSION 6 : Visa des études d’exécution (EXE) et Synthèse - MISSION 7 : Direction de l’exécution des travaux (DET) - MISSION 8 : Assistance aux opérations de réception jusqu’à la fin de la Garantie de Parfait Achèvement (AOR) - MISSION 9 : Ordonnancement, Pilotage , Coordination (OPC) PARTIE III – Etablissement des dossiers réglementaires - MISSION 10 : Assistance à maitrise d’ouvrage pour la constitution du dossier de création de ZAC - MISSION 11 : Assistance à maitrise d’ouvrage pour la constitution du dossier de réalisation de ZAC - MISSION 12 : Assistance à maitrise d’ouvrage pour la constitution du dossier d’enquête préalable à la Déclaration d’Utilité Publique - MISSION 13 : Assistance à maitrise d’ouvrage pour la constitution du Permis d’Aménager - MISSION 14 : Etablissement des fiches de lots/îlots à construire - MISSION 15 : Assistance à la commercialisation des droits à construire (des études à la livraison) - VISA PARTIE IV – Missions complémentaires - MISSION 16 : Gestion dynamique du projet - MISSION 17 : Fiches Actions / Etude de faisabilité programmatique",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
519993-2026,France – Urban solid-refuse disposal services – Tri valorisation et transfert des déchets recyclables,Communauté de communes Aumale-Blangy-sur-Bresle,can-modif,90513200,—,https://ted.europa.eu/en/notice/-/detail/519993-2026,,,,5 year,FRA,Tri valorisation et transfert des déchets recyclables,,Market intelligence,,,,,2026-07-29,
520477-2026,"France – Feasibility study, advisory service, analysis – Etudes de valorisation et protection du patrimoine architectural, urbain et paysager des abords du Grand Boulevard Lille - Roubaix - Tourcoing",Métropole européenne de Lille,can-standard,71241000,—,https://ted.europa.eu/en/notice/-/detail/520477-2026,,,,48 month,FRA,"Le Grand boulevard et ses abords présentent aujourd'hui sur les 9 communes traversées (Lille, La Madeleine, Marcq-en-Barœul, Wasquehal, Mouvaux, Croix, Villeneuve d'Ascq, Roubaix et Tourcoing) un paysage urbain très variés aux séquences de qualité hétérogène. Les enjeux actuels de transition écologique et énergétique, de sobriété foncière, de développement des pratiques de mobilité, de diversification des usages de la ville et de rééquilibrage de l’offre de logements doivent se conjuguer aux enjeux de valorisation de l’identité de cet axe historique et de préservation du patrimoine architectural, urbain et paysager et ce, dans un contexte de forte pression foncière. Pour accompagner la Métropole européenne de Lille, un accord cadre d'études urbaines est lancé. Il aura pour objet d'accompagner l'ensemble des réflexions.",,Market intelligence,,,,,2026-07-29,AEI | VILLE OUVERTE
520795-2026,France – Architectural and related services – Marché MOE construction observatoire ENS Rieucourt,SEM 47,can-standard,71200000,—,https://ted.europa.eu/en/notice/-/detail/520795-2026,,,,26 month,FRA,"Dans le cadre de sa compétence de protection et de valorisation du patrimoine naturel, le Département de Lot-et-Garonne réalise un plan de préservation, d’interprétation et de mise en valeur de l’Espace Naturel Sensible (ENS) du Rieucourt situé sur la commune de Pindères (47700). Le projet porte sur la construction d’un observatoire « Lou Gran Truc » Station Numéro 5 situé sur l’Espace naturel du Rieucourt. L’emplacement de la station Numéro 5 est situé sur une ancienne palombière qui a été entièrement démontée afin de sécuriser le site ouvert au public et aux promeneurs. Le projet de la station Lou Gran Truc doit être un observatoire, essentiellement ornithologique (diverses espèces présentes sur le site, migration de palombes). La structure du projet doit être entièrement démontable, l’utilisation de fondations et armatures en béton est proscrite Le projet de la station Lou Gran Truc se doit d’être à la fois artistique, innovant, pédagogique et ludique avec proposition d’une scénographie invitant à l’écoute et à l’observation. La station Lou Gran Truc s’adresse à un public familial avec une accessibilité PMR permettant de découvrir, d’écouter et d’observer (sans se faire voir) la diversité faunistique et floristique de l’ENS du Rieucourt. L’observatoire évoquera l’architecture de la palombière sans toutefois développer le thème de la chasse.",,Market intelligence,,,,,2026-07-29,SCP HUSSON TAROZZI | Emma Husson | Doylan BRIEDA | Lulisse
521621-2026,France – Data analysis services – Réalisation de diagnostics DATA-IA auprès d'organisations normandes,Région Normandie,can-standard,"72316000, 72266000, 72322000, 72810000",—,https://ted.europa.eu/en/notice/-/detail/521621-2026,,,,—,FRA,"L'accord-cadre sera exécuté par la conclusion de marchés subséquents et l'émission de bons de commande dans les conditions du cahier des charges. Les prestations sont réglées par des prix unitaires. Les prestations concernent un service d'accompagnement (« consulting ») auprès de structures normandes (publiques ou privées) volontaires pour identifier les bénéfices potentiels de la valorisation de leurs données et bénéficier de premiers conseils pour structurer leurs démarches et envisager des modalités d'action. Attribution d'un accord-cadre mono-attributaire de 12 mois sans minimum et avec maximum (41 666,00 euro(s) HT)",,Market intelligence,,,,,2026-07-29,EXMACHINIA
525965-2026,France – Telecommunication consultancy services – Prestations d’appui réseau et télécom (MARTE),RTE Réseau de Transport d’Electricité,can-standard,71316000,—,https://ted.europa.eu/en/notice/-/detail/525965-2026,,,,36 month,FRA,"Accord-cadre multi attributaires pour les prestations d'appui réseau et télécom. Cet accord cadre comprend notamment 5 domaines d'intervention qui sont l'appui fonctionnel, l'appui pilotage, l'appui technique, l'appui exploitation et l'appui pour la valorisation de la donnée Telecom. Le marché est prévu pour une durée maximale de 8 ans, composée de 3 ans fermes et de 5 x 1 année optionnelle. De plus amples informations concernant le RFI 24625 peuvent être obtenues à l'adresse suivante: https://rte-france.bravosolution.com",,Market intelligence,,,,,2026-07-29,GME ITS | GME NIJI | GME WAVESTONE | RANDSTAD DIGITAL FRANCE | DAVIDSON CONSULTING
526228-2026,"Austria – Accounting, auditing and fiscal services – EU Audits",Österreichische Forschungsförderungsgesellschaft mbH,can-standard,79200000,—,https://ted.europa.eu/en/notice/-/detail/526228-2026,,,,—,AUT,"Ziel dieses Vergabeverfahrens war die Beauftragung einer/eines unabhängigen Audit‑Dienstleister:in zur Durchführung von unabhängigen Prüfungsberichten (Audits) über die Kosten von EU-Projekten, die im Rahmen einer Finanzhilfevereinbarung des Rahmenprogramms für Forschung und Innovation „Horizon Europe“ geltend gemacht werden, sowie allfälliger europäischer Synergie-Programme.",,Market intelligence,,,,,2026-07-29,PwC Wirtschaftsprüfung GmbH
515951-2026,Ireland – Engineering design services for mechanical and electrical installations for buildings – TR5679 - Mechanical and Electrical Professional Services,Electricity Supply Board ( ESB ),cn-standard,"71321000, 71314100, 71334000, 71333000",2026-08-10,https://ted.europa.eu/en/notice/-/detail/515951-2026,1200000.0,EUR,"ENG, ENG, ENG",84 month,IRL,The Contracting Entity intends to procure Mechanical and Electrical Professional Services to support the delivery of capital and minor works projects in Dublin region in the Republic of Ireland. The framework will be structured across Dublin. Further details are provided in the PQQ document. The Contracting Entity intends to procure Mechanical and Electrical Professional Services to support the delivery of capital and minor works projects in the North Region in Republic of Ireland. The framework will be structured across the North Region. Further details are provided in the PQQ document. The Contracting Entity intends to procure Mechanical and Electrical Professional Services to support the delivery of capital and minor works projects in the Republic of Ireland. The framework will be structured across Ireland South Region. Further details are provided in the PQQ document.,,Live opportunity,,,True,API error 401 — kept,2026-07-28,
