pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,fetched_date,ai_relevant,ai_reason,winner
360663-2026,Norway – Research and development services and related consultancy services – Request for information: Why do migrants/asylum seekers choose to travel to Norway?,Utlendingsdirektoratet,pin-only,"73000000, 73100000, 73110000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/360663-2026,,,,—,NOR,,3,Possible opportunity,,,2026-05-28,,,
362453-2026,"Denmark – Research and development consultancy services – Topic Centre on Air Quality Reporting, Data and Assessment Services",European Environment Agency (EEA),cn-standard,"73200000, 90731000",2026-08-04,https://ted.europa.eu/en/notice/-/detail/362453-2026,2500000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",54 month,DNK,"Support related to EEA legal obligations to collect specified dataflows, development and update of regular visualizations and dashboards/viewers and specific knowledge development (regular briefings, reports, datasets, etc..).",3,Possible opportunity,,,2026-05-28,,,
362535-2026,Sweden – Evaluation consultancy services – Procurement of an impact evaluation for Formas’ open calls,Formas,cn-standard,"79419000, 72310000, 72316000, 73110000",2026-06-27,https://ted.europa.eu/en/notice/-/detail/362535-2026,,,ENG,—,SWE,"Formas invites tenderers to submit tenders for an impact evaluation of Formas’ open calls. Formas plans to commission an impact evaluation exploring what open, bottom‑up research funding makes possible over time. The assignment will examine how diverse research projects contribute to scientific progress, societal benefit, and long‑term change. It will address a large and highly heterogeneous portfolio, where impact emerges through complex and often indirect pathways. The evaluation is expected to combine portfolio‑level insights with deep dives into selected projects or sub‑portfolios. Emphasis will be placed on patterns of contribution, learning, and mechanisms of influence rather than simple attribution. The work is planned to be carried out during autumn 2026 and spring 2027.",3,Possible opportunity,,,2026-05-28,,,
362548-2026,Egypt – Natural resources management or conservation strategy planning services – EU Water Sector Technical Assistance and Reforms Strengthening (EU WATER STARS-PHASE II),"European Union, represented by the European Commission on behalf of and for the account of Egypt",cn-standard,"90712400, 71241000, 71356200, 79411100",—,https://ted.europa.eu/en/notice/-/detail/362548-2026,3500000.0,EUR,ENG,36 month,EGY,"International Restricted Tender - Service Contract This initiative is specifically designed to The overall objective To enhance sustainable and climate-resilient water management in Egypt, with a focus on the role of the water sector; in line with the EU–Egypt Strategic Partnership and the Joint Water Partnership Declaration. The specific objectives (Outcomes) of this contract are as follows: • To develop new and improve existing strategies and frameworks in the water sector, for climate mitigation and adaptation and support to vulnerable areas. • To develop water-sector governance practices and capacities based on sound green and sustainability standards. • Enhance Financing Sustainability and promote Public Private Partnerships in the water sector The contract will be organised around five (5) main components: ● Component A – Implement Integrated Water-Sector Strategies & Action Planning ● Component B – Enhance Green Water Governance & Institutional Capacity Strengthening ● Component C– Support Financial Sustainability and PPP projects preparatory facility ● Component D - Develop communication and information plans for public awareness ● Component E - Prepare technical studies for integrated resources management",3,Possible opportunity,,,2026-05-28,,,
354125-2026,Czechia – Business development consultancy services – Mezinárodní akcelerátor,Zlínský kraj,cn-standard,"79411100, 66122000, 80521000, 79998000",—,https://ted.europa.eu/en/notice/-/detail/354125-2026,225000000.0,CZK,"CES, ENG",6 year,CZE,"Předmětem Veřejné zakázky je poskytování služeb mezinárodního akcelerátoru pro zadavatele. Konkrétní nastavení služeb akcelerátoru mimo minimální parametry plnění bude předmětem jednání s účastníky v rámci jednacího řízení s uveřejněním. Zadavatel předpokládá níže uvedený rozsah základních služeb mezinárodního akcelerátoru: -Akcelerace startupů -Mentoring -Organizace akcí (konference, hackathony, workshopy apod.), realizace/podpora pilotních projektů s partnery -Networking -Aktivní zapojení regionálních stakeholderů (akademická, veřejná nebo podnikatelská sféra) -Přístup k mezinárodním investorským sítím a již existujícímu ekosystému vybraného dodavatele -Inkubační služby pro zahraniční startupy -Expertní podpora napříč životním cyklem startupu -Zapojení do globálních inovačních sítí -Rozvoj podnikání a získávání financování -Provozování fyzické infrastruktury (coworking) -Získávání a nábor talentů do Zlínského kraje Cílová skupina mezinárodního akcelerátoru: -Začínající a rané startupy (lokální i zahraniční) -Startupové týmy vedené zahraničními zakladateli -Spin-offy z univerzit a výzkumných institucí -Týmy s inovačním konceptem Délka a harmonogram akceleračního programu: -Tříletý akcelerační program s možností rozšíření na další cyklus, viz níže -Požadovaný počet běhů programu za rok (např. min. 2 výzvy za rok) Zadavatel si v souladu s § 100 odst. 1 ZZVZ vyhrazuje změnu závazku ze smlouvy na Veřejnou zakázku, a to ve vztahu k rozsahu služeb, kdy po skončení tříletého akceleračního programu může dojít k rozšíření na další cyklus v délce až tří let. Ke změně závazku může dojít na základě výzvy zadavatele. Podrobnosti mechanismu spuštění vyhrazené změny závazku budou součástí návrhu smlouvy. Poskytování služeb bude zahrnovat také související reporting a součinnost vůči zadavateli v rozsahu stanoveném zadávacími podmínkami. Blíže viz Výzva k žádosti o účast a zadávací podmínky.",6,Possible opportunity,,spin-off,2026-05-27,,,
357267-2026,Costa Rica – Business and management consultancy services – GSSP_CR_B1+B2,Superintendencia General de Seguros,cn-standard,79410000,2026-07-08,https://ted.europa.eu/en/notice/-/detail/357267-2026,,,ENG,12 month,CRI,"SUGESE, as beneficiary and contracting authority of the Global Shield Solutions Platform funded Support Programme Costa Rica, hereby invites proposals under an open, single-stage procedure for consulting services comprising a diagnostic study and the development of parametric insurance regulations. The Global Shield Solutions Platform, managed by Frankfurt School of Finance & Management gGmbH, will administer the procurement and process payments on behalf of SUGESE from donor funds; however, the service contract will be concluded with SUGESE, and the selected consultant's services shall be owed exclusively to SUGESE without creating any employment relationship.",3,Possible opportunity,,,2026-05-27,,,
357331-2026,Finland – Research and development services and related consultancy services – Regional Teachers Initiative for Africa (RTIA): Technical Expertise for Liberia - TA3: Policy Framework for teachers’ recruitment and deployment,The Finnish National Agency for Education,veat,"73000000, 72224000, 73200000, 75112100",—,https://ted.europa.eu/en/notice/-/detail/357331-2026,,,,—,FIN,"This TA aims to operationalize the Teaching Workforce Management Strategy by developing standardized guidelines for teacher recruitment and deployment in Liberia. The Regional Teachers Initiative for Africa (RTIA), a programme funded by the EU/EC via the Education section (G3) of DG INTPA aims to improve learning outcomes and the socioemotional development of children in Africa, by having a more competent, motivated and inclusive teacher workforce in basic education.",3,Possible opportunity,,,2026-05-27,,,
356468-2026,"Germany – Legal advisory services – Legal, Financial and Economic Advisory Services in Latin America and the Caribbean in line with the EU Global Gateway Strategy",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,can-standard,"79111000, 66171000",—,https://ted.europa.eu/en/notice/-/detail/356468-2026,,,,—,DEU,"The main objective of this assignment is to provide legal, financial, and economic advisory services to selected initiatives in partner countries in LAC across Euroclima´s core thematic areas (Energy Transition, Sustainable Transport, Biodiversity and Nature Based Solution, Bioeconomy, Circular Economy). These services will be delivered ad-hoc through the rapid mobilization of advisory expertise and implemented via a combination of key experts and pools of short-term experts based in both Europe and the LAC region, in order to - Provision of legal, financial, and economic advisory inputs to structure innovative and inclusive business models, public-private partnerships, and de-risking mechanisms tailored to the local context. - Support to the development of bankable business cases in key Euroclima sectors, identifying viable entry points for private sector investment and blended finance. - Assessment of regulatory and institutional frameworks to identify barriers and enablers for private investment in Euroclima sectors and propose recommendations for improvement. - Preparation of legal and economic strategic support materials for Stakeholders and for B2B and B2G engagement opportunities between LAC and EU stakeholders. - Facilitation of the inclusion of SMEs, cooperatives, and community-based enterprises into scalable business models. Contribute to capacity building activities, including the preparation of guidance notes, legal templates, or policy briefs, in collaboration with Euroclima""s regional initiatives.",3,Market intelligence,,"business model, advisory services",2026-05-27,,,Dorsch Impact GmbH
353029-2026,Ireland – Business and management consultancy services – Consultancy Service for As-Is Analysis and Report of Transition from Secondary to Tertiary Education,Department of Further and Higher Education Research Innovation and Science,cn-standard,"79410000, 73210000, 79400000, 79411100",2026-06-22,https://ted.europa.eu/en/notice/-/detail/353029-2026,750000.0,EUR,ENG,4 year,IRL,Producing a comprehensive As-Is analysis and report – analysing the current user journey for individuals interacting with public services when transitioning from secondary to tertiary education.,6,Possible opportunity,,,2026-05-22,,,
346633-2026,Netherlands – Business development consultancy services – Duurzame bedrijfsplannen grondgebonden veehouderij in de provincie Utrecht,Provincie Utrecht,cn-standard,79411100,2026-07-06,https://ted.europa.eu/en/notice/-/detail/346633-2026,,,NLD,6 month,NLD,Opstellen (ca. 40) duurzame bedrijfsplannen grondgebonden veehouderij Opstellen (ca. 40) duurzame bedrijfsplannen grondgebonden veehouderij,3,Possible opportunity,,,2026-05-21,,,
341710-2026,Czechia – Business development consultancy services – Mezinárodní akcelerátor,Zlínský kraj,cn-standard,"79411100, 66122000, 80521000, 79998000",—,https://ted.europa.eu/en/notice/-/detail/341710-2026,112500000.0,CZK,"CES, ENG",6 year,CZE,"Předmětem Veřejné zakázky je poskytování služeb mezinárodního akcelerátoru pro zadavatele. Konkrétní nastavení služeb akcelerátoru mimo minimální parametry plnění bude předmětem jednání s účastníky v rámci jednacího řízení s uveřejněním. Zadavatel předpokládá níže uvedený rozsah základních služeb mezinárodního akcelerátoru: -Akcelerace startupů -Mentoring -Organizace akcí (konference, hackathony, workshopy apod.), realizace/podpora pilotních projektů s partnery -Networking -Aktivní zapojení regionálních stakeholderů (akademická, veřejná nebo podnikatelská sféra) -Přístup k mezinárodním investorským sítím a již existujícímu ekosystému vybraného dodavatele -Inkubační služby pro zahraniční startupy -Expertní podpora napříč životním cyklem startupu -Zapojení do globálních inovačních sítí -Rozvoj podnikání a získávání financování -Provozování fyzické infrastruktury (coworking) -Získávání a nábor talentů do Zlínského kraje Cílová skupina mezinárodního akcelerátoru: -Začínající a rané startupy (lokální i zahraniční) -Startupové týmy vedené zahraničními zakladateli -Spin-offy z univerzit a výzkumných institucí -Týmy s inovačním konceptem Délka a harmonogram akceleračního programu: -Tříletý akcelerační program s možností rozšíření na další cyklus, viz níže -Požadovaný počet běhů programu za rok (např. min. 2 výzvy za rok) Zadavatel si v souladu s § 100 odst. 1 ZZVZ vyhrazuje změnu závazku ze smlouvy na Veřejnou zakázku, a to ve vztahu k rozsahu služeb, kdy po skončení tříletého akceleračního programu může dojít k rozšíření na další cyklus v délce až tří let. Ke změně závazku může dojít na základě výzvy zadavatele. Podrobnosti mechanismu spuštění vyhrazené změny závazku budou součástí návrhu smlouvy. Poskytování služeb bude zahrnovat také související reporting a součinnost vůči zadavateli v rozsahu stanoveném zadávacími podmínkami. Blíže viz Výzva k žádosti o účast a zadávací podmínky.",6,Possible opportunity,,spin-off,2026-05-20,True,API error 404 — kept,
281286-2026,"Ireland – Business services: law, marketing, consulting, recruitment, printing and security – DFE - InterTradeIreland - Seedcorn Investor Readiness Competition – Business Plan Markers",Construction and Procurement Delivery (CPD),pin-only,"79000000, 79410000, 79419000, 79411100",—,https://ted.europa.eu/en/notice/-/detail/281286-2026,,,,—,IRL,,16,Live opportunity,investor readiness,,2026-05-19,,,
311955-2026,Norway – Research and development consultancy services – Commercialisation services,NORCE Research AS,cn-standard,"73200000, 73300000, 79400000",2026-06-03,https://ted.europa.eu/en/notice/-/detail/311955-2026,,,"ENG, NOR",48 month,NOR,"NORCE Research AS is an independent research institute that provides multi-disciplinary, applied research within energy, climate and the environment, health, society and technology. NORCE works closely with business and the public sector to create research based innovation and social benefit.  NORCE has several locations nationally. Deliveries under this agreement shall be able to perform efficiently across NORCE ́s locations (Tromsø, Bergen, Stavanger, Haugesund, Oslo, Kristiansand and Grimstad), through a combination of on-site presence and digital formats. Seamless follow-up of researchers, project managers and administration shall be facilitated, regardless of geographical location.  The aim is to enter into a framework agreement with one total supplier (with an option to use sub-suppliers see point 2.6) of commercialisation services, which shall strengthen NORCE ́s ability to help identify, assess, evaluate and develop research results. The contract shall supplement NORCE ́s internal innovation and business developer function and ensure professional handling of rights, market clarification and scaling.  * The framework agreement will be used for individual assignments as needed (call-offs).  * NORCE maintains primary responsibility for brainstorming, first dialogue with researchers, receipt of innovation messages (DOFI) and initial rights claims.  * The tenderer will have primary responsibility in later phases of the commercialisation process. The final division of roles and responsibilities will be agreed per assignment.  NORCE ́s research areas: ·         Energy and technology (e.g. renewable energy, energy systems, digitalisation/AI, sensors and robotics).  ·         Climate and environment (e.g. monitoring, modelling, nature and environmental data, sustainable materials and processes).  ·         Health (e.g. health, e-health, decision support, diagnostics, medical technology).  ·         Communities (e.g. stand-by, welfare, public innovation, computer and policy-driven service development).  ·         Sea and bioeconomy (e.g. marine biotechnology, aquaculture, environment monitoring, sensor technology).  Tenderers must be able to handle commercialisation of both physical technology and software/data-based results (including open source code models, data and licence regimes).",13,Live opportunity,commercialisation services,commercialisation,2026-05-19,,,
