id,source,title,url,deadline,description,scraped_at,fit,score,fit_reason,fit_match,call_summary,call_deadline
f5e2c6bc6211,EIT Climate-KIC,RFP - Research and Analysis of Demand Side and Engagement for Climate Entrepreneurship Support,https://www.climate-kic.org/../../wp-content/uploads/2025/09/RFP-ESO-Circle-Demand-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a comprehensive research and analysis of at least 30 Entrepreneurial Support Organizations (ESOs) previously supported by ESV Cluster, generating",2026-06-22T12:48:41.821684+00:00,MAYBE,5,"The tender focuses on research and analysis of entrepreneurial support organisations in the climate sector, which partially aligns with DevelopMinded's market intelligence and innovation programme evaluation capabilities, but is more focused on ecosystem/demand-side research than direct deep tech commercialisation support.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Climate-KIC is seeking expert services to conduct comprehensive research and analysis of at least 30 Entrepreneurial Support Organisations (ESOs) previously supported by its ESV Cluster, likely to understand demand-side needs and engagement patterns for climate entrepreneurship support. The contractor must deliver a structured research study, likely including surveys, interviews, and analytical outputs covering the needs, gaps, and engagement dynamics of these ESOs within the climate innovation ecosystem.",
92dd56408191,EIT Climate-KIC,RFP - Market & Supply-Side Analysis for Climate Entrepreneurship Support,https://www.climate-kic.org/../../wp-content/uploads/2025/09/RFP-ESO-Circle-Supply-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a
comprehensive market and supply-side analysis to map
competitors, identify trends, and generate actionable
recommendations that will strengthen",2026-06-22T12:48:41.821842+00:00,YES,8,"This tender directly requires market and supply-side analysis, competitor mapping, and trend identification for climate entrepreneurship support — core services DevelopMinded offers including market intelligence, competitive analysis, and market sizing for deep tech/cleantech ventures.","Go-to-market strategy and market intelligence (market sizing, segmentation, competitive analysis)","EIT Climate-KIC seeks expert services to conduct a comprehensive market and supply-side analysis mapping competitors, identifying trends, and generating actionable recommendations to strengthen their climate entrepreneurship support offering. The contractor must deliver a structured analysis covering the competitive landscape, market dynamics, and strategic recommendations relevant to climate-focused innovation and entrepreneurship ecosystems.",
d65846020b1d,EIT Climate-KIC,NZC CESF Procurement RFP - City Finance Specialised Services,https://www.climate-kic.org/../../wp-content/uploads/2025/07/3.1-NZC-CESF-Procurement-for-CFSS-Rev03-1.pdf,,,2026-06-22T12:48:41.822038+00:00,MAYBE,3,"The tender appears to relate to city finance specialised services under EIT Climate-KIC's Net Zero Cities programme, which is adjacent to DevelopMinded's EU ecosystem work but focuses on municipal finance rather than technology commercialisation or deep tech venture support.",EU tender bid preparation,"This tender is issued by EIT Climate-KIC under the Net Zero Cities (NZC) / City Energy and Systems Finance (CESF) programme, likely seeking specialised financial advisory or city finance services. The exact deliverables cannot be confirmed as the source document returned a 404 error, but the scope likely involves financial structuring or investment facilitation for urban decarbonisation projects.",
6b529a5a5900,EIT Climate-KIC,RFQ - Learning Methodology,https://www.climate-kic.org/../../wp-content/uploads/2025/07/RFQ_Learning_Coach.pdf,,"Methodology development and facilitation of peer-to-peer learning
sessions for Entrepreneurship Support Organisations.",2026-06-22T12:48:41.822161+00:00,MAYBE,4,"While DevelopMinded supports innovation programmes and startups, this tender focuses on learning methodology design and facilitation for Entrepreneurship Support Organisations, which is adjacent but not a core service offering.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions",This EIT Climate-KIC call seeks a contractor to develop a learning methodology and facilitate peer-to-peer learning sessions for Entrepreneurship Support Organisations (ESOs). The contractor must concretely deliver a structured methodology framework and run facilitated sessions enabling ESOs to share knowledge and best practices.,
ddde12d01fee,EIT Urban Mobility,Office Rental Barcelona27 28,https://www.eiturbanmobility.eu/request-for-proposal/office-rental-barcelona27-28/,27 July 2026,,2026-06-22T12:48:49.084671+00:00,NO,1,"This tender is for physical office space rental in Barcelona, which is entirely unrelated to DevelopMinded's consultancy services in technology commercialisation, market strategy, or innovation support.",none,EIT Urban Mobility is seeking a supplier to provide rental premises/office space in Barcelona for its operations in 2027-2028. The contractor must offer physical office facilities meeting EIT UM's requirements as specified in the Request for Proposal.,27 July 2026
ef3b8e96c85f,EIT Climate-KIC,NetZeroCities CESF Expert Support - Slovenia,https://www.climate-kic.org/wp-content/uploads/2026/06/RFP_2026_SGA2_Task-1.6-Slovenia2_publish.pdf,,"As part of the NetZeroCities City Expert Support Facility programme, Climate KIC is looking for an expert support to facilitate the Community of Practice of cities in the Republic of Slovenia.",2026-06-29T11:57:40.900626+00:00,NO,2,"This tender requires city-facing community of practice facilitation for municipal net-zero transitions in Slovenia, which is unrelated to DevelopMinded's technology commercialisation and deep tech startup support services.",none,"This call is part of the NetZeroCities City Expert Support Facility (CESF) programme run by EIT Climate-KIC, seeking an expert to facilitate a Community of Practice among cities in Slovenia working toward net-zero goals. The contractor must deliver facilitation, coordination, and peer-learning support for Slovenian municipalities within the NetZeroCities network.",
48f263e95e6d,EIT RawMaterials,Request for proposal: Event Management Services for the Expert Forum: REE & Battery Materials on 2…,https://www.eitrawmaterials.eu/articles/request-proposal-event-management-services-expert-forum-ree-battery-materials-2-5-november,,,2026-06-29T11:58:02.298189+00:00,NO,1,"This tender requires an event management agency for physical event production, logistics, and on-site delivery — none of which are services DevelopMinded offers.",none,"EIT RawMaterials is seeking an experienced event agency to plan, coordinate, produce, and deliver the Expert Forum on REE & Battery Materials in Turin, Italy (2-5 November 2026) for approximately 200 participants. The contractor must handle all aspects of venue coordination, audiovisual production, branding, participant management, catering, and on-site operational delivery.",
bc581ba76669,EIT RawMaterials,Request for Proposal: Event Management Services – Expert Forum: Green and Circular Metals on 29-30…,https://www.eitrawmaterials.eu/articles/request-proposal-event-management-services-expert-forum-green-and-circular-metals-29-30,,,2026-06-29T11:58:02.469579+00:00,NO,1,"This tender requires event management and logistics services for a physical conference, which is entirely outside DevelopMinded's service portfolio of technology commercialisation, investment readiness, and strategic consultancy.",none,"EIT RawMaterials is seeking an experienced event agency to plan, coordinate, produce, and deliver the Expert Forum: Green and Circular Metals in Amsterdam on 29-30 September 2026, expected to host approximately 150 participants. The contractor must concretely deliver venue and logistics coordination, participant registration management, audiovisual and streaming production, on-site operations, and speaker support throughout the two-day event.",
42d530b539b0,EIT Digital (28DIGITAL),Co-Creation Accelerator 2026-2027,https://28digital.eu/co-creation-accelerator-2026-2027/,,,2026-07-06T11:26:13.519933+00:00,MAYBE,5,"This is a startup accelerator program seeking deep tech ventures as applicants (not consultants), but DevelopMinded could support eligible client startups in preparing and submitting their applications to this EIT Digital co-creation program.",EU tender bid preparation,"The Co-Creation Accelerator 2026-2027 is an EIT Digital (28DIGITAL) program offering up to €250,000 in equity-based funding for early-stage digital startups (TRL 4-5+) to co-develop solutions with industry partners over 4 months. Contractors/applicants must be micro or small enterprises incorporated within the last 5 years in an EU/HE country, and must deliver a co-created solution addressing a defined industry challenge.",
4f8a1f7fea50,EIT Food,The Request for Proposals for a qualified supplier to act as the EIT Community Officer (ECO) for the EIT Community Hub in Serbia,https://www.eitfood.eu/open-calls/the-request-for-proposals-for-a-qualified-supplier-to-act-as-the-eit-community-officer-eco-for-the-eit-community-hub-in-serbia,"Deadline: July 21, 2026",,2026-07-06T11:26:19.191202+00:00,MAYBE,4,"This tender requires a Serbia-based legally registered entity to act as an on-the-ground EIT Community Hub coordinator, which is a local operational role rather than a strategic commercialisation or consultancy engagement — though DevelopMinded's partnership strategy, stakeholder outreach, and innovation ecosystem experience are partially relevant.",Partnership strategy and stakeholder outreach,"This RfP seeks a qualified supplier physically based in Serbia to serve as the EIT Community Officer for the EIT Community Hub in Serbia from August 2026 to December 2027, acting as the central coordination point for all nine EIT KICs. The contractor must implement joint EIT Community activities, engage local stakeholders, foster synergies between KICs, and maximise innovation uptake and community outreach in Serbia.","Deadline: July 21, 2026"
be87bfd16dfa,EIT Food,The Request for Proposals for a qualified supplier to act as the EIT Community Officer (ECO) for the EIT Community Hub in Estonia,https://www.eitfood.eu/open-calls/the-request-for-proposals-for-a-qualified-supplier-to-act-as-the-eit-community-officer-eco-for-the-eit-community-hub-in-estonia,"Deadline: July 21, 2026",,2026-07-06T11:26:19.191459+00:00,MAYBE,4,"This tender requires a locally registered Estonian entity to act as an EIT Community Hub operational coordinator, which is a staffing/representation role rather than DevelopMinded's core consultancy services, though there is partial overlap in stakeholder engagement and innovation ecosystem work.",Partnership strategy and stakeholder outreach,"This call seeks a qualified supplier physically based in Estonia to serve as the EIT Community Officer (ECO), acting as the central coordination and operational point for all nine EIT KIC activities in Estonia from August 2026 to December 2027. The contractor must implement joint innovation activities, engage local stakeholders, foster synergies between EIT KICs, and act as a one-stop shop for EIT Community presence in Estonia.","Deadline: July 21, 2026"
7e44e5780416,EIT Urban Mobility,Pio Tool It Support And Developments 26 28,https://www.eiturbanmobility.eu/request-for-proposal/pio-tool-it-support-and-developments-26-28/,20 July 2026,,2026-07-06T11:26:20.944901+00:00,NO,1,"This tender requires a Microsoft SharePoint and PowerApps technical IT development provider, which is entirely outside DevelopMinded's technology commercialisation and strategic consultancy services.",none,"EIT Urban Mobility is seeking a qualified IT supplier to provide technical support, maintenance, and development services for their internal PIO Tool environment, built on Microsoft SharePoint, PowerApps, Power BI, Adobe Sign, and the EIT Community Portal. The contractor must deliver hands-on IT development and ongoing technical maintenance of these Microsoft-based platforms.",20 July 2026
8731e03b0852,EIT RawMaterials,Request for proposal: Nickel and Cobalt Value Chain  Study: EU Supply–Demand Gap  and Strategic…,https://www.eitrawmaterials.eu/articles/request-proposal-nickel-and-cobalt-value-chain-study-eu-supply-demand-gap-and-strategic,"July 24th, 2026",,2026-07-13T10:24:00.576392+00:00,ERROR,0,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CcytmyuPQi753xxRDAzWv'}",,,
0a6257847aa3,EIT Digital (28DIGITAL),"Request for Quotation - Master School 2026 - Kick-Off: Accommodation management in Tallinn, Estonia",https://28digital.eu/our-messages/calls-tenders/request-for-quotation-2026-msl-kick-off-accommodation-management-in-tallinn-estonia/,,,2026-07-20T09:58:07.251676+00:00,ERROR,0,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'API key is invalid.'}, 'request_id': None}",,,
18b0b5b7a2f1,EIT Urban Mobility,Employer Of Record Eor Services In The United Kingdom,https://www.eiturbanmobility.eu/request-for-proposal/employer-of-record-eor-services-in-the-united-kingdom/,18 August 2026,,2026-07-20T09:58:15.110370+00:00,ERROR,0,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'API key is invalid.'}, 'request_id': None}",,,
9fd064111537,EIT Urban Mobility,Operational Audit Of The Partner Validation Service26 28,https://www.eiturbanmobility.eu/request-for-proposal/operational-audit-of-the-partner-validation-service26-28/,31 August 2026,,2026-07-20T09:58:15.676714+00:00,ERROR,0,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'API key is invalid.'}, 'request_id': None}",,,
1dbe6be47c4d,EIT RawMaterials,Request for Proposal: Event Management Services for the Girls Go STEM project (EIT Women and Girls…,https://www.eitrawmaterials.eu/articles/request-proposal-event-management-services-girls-go-stem-project-eit-women-and-girls-stem,25.07.2026,,2026-07-20T09:58:29.695240+00:00,ERROR,0,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'API key is invalid.'}, 'request_id': None}",,,
